city,lat,lng,COUNTRY,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type,Time (Input 5),QCI (Input 6),Packet Loss Rate (Reliability),Packet Delay Budget (Latency)
Tallaght,53.28719757,-6.357019685,Ireland,-92.30988823,2.841695696,161.6650315,LTE,5,6,0.01,<10ms
Tallaght,53.29681151,-6.352784182,Ireland,-84.85613785,72.54836975,44.40489589,5G,5,7,0.01,<10ms
Tallaght,53.28956342,-6.363118571,Ireland,-104.2338622,1.157156994,139.6923276,3G,5,8,0.01,<10ms
Tallaght,53.29824959,-6.360947539,Ireland,-92.26667765,1.678900385,181.4825114,LTE,5,9,0.01,<10ms
Tallaght,53.28343823,-6.356821852,Ireland,-102.9195141,2.110727102,171.9201778,LTE,5,69,0.01,<10ms
Tallaght,53.28035192,-6.363814277,Ireland,-82.71875603,9.113962667,95.0350932,4G,5,70,0.01,<10ms
Tallaght,53.28601625,-6.348679626,Ireland,-86.41922712,9.095249309,72.26526275,4G,6,1,0.01,<10ms
Tallaght,53.29587721,-6.365991941,Ireland,-87.45931279,1.497428545,161.7144987,LTE,6,2,0.01,<10ms
Limerick,52.6653,-8.6238,Ireland,-90.4215677,50.69791255,47.3550007,5G,6,3,0.01,<10ms
Limerick,52.66586221,-8.626751012,Ireland,-82.87668315,1.887500439,186.8142254,3G,6,4,0.01,<10ms
Limerick,52.66199519,-8.63241418,Ireland,-91.03700177,2.333943034,157.7185237,3G,6,65,0.01,<10ms
Limerick,52.66750689,-8.63340744,Ireland,-88.83156539,20.81881498,31.77956392,5G,6,66,0.01,<10ms
Limerick,52.66708266,-8.628071034,Ireland,-84.17029254,6.354273143,51.28210329,4G,6,5,0.01,<10ms
Limerick,52.65805738,-8.618780779,Ireland,-86.95214061,1.332663215,161.7351757,3G,6,6,0.01,<10ms
Limerick,52.65878155,-8.63303677,Ireland,-88.55121736,4.296599126,95.88762446,4G,6,7,0.01,<10ms
Limerick,52.66646212,-8.620391511,Ireland,-91.0455997,8.123706473,92.55871304,4G,6,8,0.01,<10ms
Limerick,52.66204828,-8.621636595,Ireland,-89.1925547,2.18895267,149.6766859,3G,6,9,0.01,<10ms
Limerick,52.67388004,-8.620928862,Ireland,-90.38098031,1.453312804,135.4996306,LTE,6,69,0.01,<10ms
Limerick,52.67093353,-8.614795077,Ireland,-93.42909768,2.160950013,108.8767394,LTE,6,70,0.01,<10ms
Lucan,53.3544,-6.4486,Ireland,-88.17489881,7.259404889,75.34192159,4G,7,1,0.01,<10ms
Lucan,53.3604355,-6.439485317,Ireland,-92.32672366,6.966027535,69.55213815,4G,7,2,0.01,<10ms
Lucan,53.34917411,-6.447070826,Ireland,-94.05902692,2.529619602,117.4838627,3G,7,3,0.01,<10ms
Lucan,53.35452764,-6.456283344,Ireland,-88.29928463,2.702897275,100.0332506,LTE,7,4,0.01,<10ms
Lucan,53.36305503,-6.448047885,Ireland,-88.65736804,1.45778921,123.2645539,LTE,7,65,0.01,<10ms
Lucan,53.3630254,-6.450507082,Ireland,-77.60536709,4.818692461,88.01449116,4G,7,66,0.01,<10ms
Lucan,53.35300512,-6.443675887,Ireland,-91.20056114,51.35020916,41.40066175,5G,7,5,0.01,<10ms
Lucan,53.36388592,-6.449937158,Ireland,-83.91531145,1.300338002,173.7433769,3G,7,6,0.01,<10ms
Lucan,53.3565092,-6.458209205,Ireland,-84.60687974,59.46544393,43.22137826,5G,7,7,0.01,<10ms
Lucan,53.36258352,-6.456100617,Ireland,-101.8595057,1.585644073,197.9970329,LTE,7,8,0.01,<10ms
Lucan,53.35939523,-6.443966679,Ireland,-89.84068419,8.925600371,95.94632668,4G,7,9,0.01,<10ms
Waterford,52.2567,-7.1292,Ireland,-100.3833047,53.95547171,16.02704431,5G,7,69,0.01,<10ms
Waterford,52.24967224,-7.138879871,Ireland,-97.11452333,2.231970901,118.8024735,3G,7,70,0.01,<10ms
Waterford,52.24813423,-7.135463708,Ireland,-88.78349532,52.32871487,30.08200854,5G,8,1,0.01,<10ms
Waterford,52.25267832,-7.13335783,Ireland,-93.6705076,2.405886882,105.280396,LTE,8,2,0.01,<10ms
Waterford,52.25722535,-7.136385404,Ireland,-79.99028649,99.85127603,47.32453325,5G,8,3,0.01,<10ms
Waterford,52.25929192,-7.121354131,Ireland,-93.02664235,5.091079015,97.03396226,4G,8,4,0.01,<10ms
Waterford,52.24720133,-7.131016873,Ireland,-90.87896121,2.313910313,195.6614621,LTE,8,65,0.01,<10ms
Waterford,52.26468262,-7.130384754,Ireland,-96.58410881,75.92038587,31.93282335,5G,8,66,0.01,<10ms
Waterford,52.24940937,-7.122100207,Ireland,-89.43645501,3.621881716,84.18770528,4G,8,5,0.01,<10ms
Waterford,52.25751179,-7.123899515,Ireland,-97.07375746,56.12523839,42.25614469,5G,8,6,0.01,<10ms
Waterford,52.25185956,-7.132362236,Ireland,-95.7541781,2.077403596,149.7812508,LTE,8,7,0.01,<10ms
Clondalkin,53.3203,-6.3947,Ireland,-90.94799668,2.967042945,114.0711528,3G,8,8,0.01,<10ms
Clondalkin,53.3227486,-6.39535796,Ireland,-98.55380052,5.992427815,58.11167029,4G,8,9,0.01,<10ms
Clondalkin,53.32376421,-6.401972925,Ireland,-89.70491957,1.670416095,117.3761593,LTE,8,69,0.01,<10ms
Clondalkin,53.32872605,-6.386025581,Ireland,-85.79664051,71.7694477,12.78564593,5G,8,70,0.01,<10ms
Clondalkin,53.31213319,-6.403018696,Ireland,-88.06629805,60.43965679,14.43957877,5G,9,1,0.01,<10ms
Clondalkin,53.32374707,-6.386287608,Ireland,-84.81202181,8.086696944,65.23755477,4G,9,2,0.01,<10ms
Clondalkin,53.31714192,-6.39732746,Ireland,-95.11434031,1.370660359,107.8969162,3G,9,3,0.01,<10ms
Clondalkin,53.31693939,-6.390064471,Ireland,-93.63651103,9.152852302,78.5886176,4G,9,4,0.01,<10ms
Clondalkin,53.32289452,-6.395478055,Ireland,-87.39847285,2.901062105,160.0651067,LTE,9,65,0.01,<10ms
Clondalkin,53.31687343,-6.391497419,Ireland,-82.29259233,2.033145257,100.5505799,3G,9,66,0.01,<10ms
Clondalkin,53.32207732,-6.399189258,Ireland,-89.14219666,2.759725355,157.4779554,3G,9,5,0.01,<10ms
Dún Dealgan,54.0044,-6.4003,Ireland,-81.31622913,2.642396565,100.1565105,LTE,9,6,0.01,<10ms
Dún Dealgan,54.00758698,-6.40573154,Ireland,-85.52765744,2.187321582,101.0131184,3G,9,7,0.01,<10ms
Dún Dealgan,54.00350382,-6.403407615,Ireland,-84.60358984,1.798737497,191.0134637,3G,9,8,0.01,<10ms
Dún Dealgan,53.99932057,-6.403080827,Ireland,-84.67753186,2.051625198,151.1681387,LTE,9,9,0.01,<10ms
Dún Dealgan,54.00032615,-6.402606738,Ireland,-88.27119723,6.399127898,51.37683599,4G,9,69,0.01,<10ms
Dún Dealgan,54.00018324,-6.410241735,Ireland,-80.76720286,5.38270973,77.07038037,4G,9,70,0.01,<10ms
Dún Dealgan,54.01066291,-6.391269771,Ireland,-90.31308266,1.803557601,199.3848389,LTE,10,1,0.01,<10ms
Dún Dealgan,54.00214239,-6.403845131,Ireland,-91.38243806,2.754181162,194.4042094,3G,10,2,0.01,<10ms
Dún Dealgan,54.01374874,-6.407791026,Ireland,-96.15866608,6.19185493,72.17279182,4G,10,3,0.01,<10ms
Dún Dealgan,54.00710137,-6.400246324,Ireland,-95.94510812,2.288940554,181.9797805,LTE,10,4,0.01,<10ms
Dún Dealgan,54.00992332,-6.407987226,Ireland,-86.99645624,2.400068546,110.440413,LTE,10,65,0.01,<10ms
Drogheda,53.715,-6.3525,Ireland,-86.50732228,1.562008998,180.3482743,LTE,10,66,0.01,<10ms
Drogheda,53.71565813,-6.357970461,Ireland,-81.04102784,2.109314696,163.7090837,LTE,10,5,0.01,<10ms
Drogheda,53.7212232,-6.360424281,Ireland,-88.15971757,1.203784776,136.0233919,3G,10,6,0.01,<10ms
Drogheda,53.72339034,-6.347994048,Ireland,-93.99211935,2.407714183,100.436327,3G,10,7,0.01,<10ms
Drogheda,53.71443136,-6.352914224,Ireland,-93.05372536,1.221955049,163.4424145,LTE,10,8,0.01,<10ms
Drogheda,53.72113615,-6.351721815,Ireland,-87.57534982,21.31518421,39.48386202,5G,10,9,0.01,<10ms
Drogheda,53.71529055,-6.358769245,Ireland,-81.62323669,57.78439106,33.805267,5G,10,69,0.01,<10ms
Drogheda,53.71101688,-6.351270771,Ireland,-90.29213392,2.546283748,151.7960528,3G,10,70,0.01,<10ms
Drogheda,53.70639546,-6.344651418,Ireland,-89.44140716,1.968154139,174.7444407,3G,11,1,0.01,<10ms
Drogheda,53.70857746,-6.345945441,Ireland,-107.8116683,1.55247465,198.1653324,3G,11,2,0.01,<10ms
Drogheda,53.71563162,-6.362000329,Ireland,-85.57308329,9.705538847,76.4829862,4G,11,3,0.01,<10ms
Swords,53.4597,-6.2181,Ireland,-87.22940279,2.902859621,199.4819294,LTE,11,4,0.01,<10ms
Swords,53.46210871,-6.223548222,Ireland,-87.39100841,1.916469301,178.1348841,LTE,11,65,0.01,<10ms
Swords,53.45551587,-6.223274863,Ireland,-94.35632046,1.000885563,190.1383097,3G,11,66,0.01,<10ms
Swords,53.45768704,-6.220802683,Ireland,-90.6232859,4.34115062,95.91195433,4G,11,5,0.01,<10ms
Swords,53.46900521,-6.209958727,Ireland,-94.22988477,95.18108618,45.7023291,5G,11,6,0.01,<10ms
Swords,53.4598981,-6.217908993,Ireland,-87.24943422,2.751766167,153.9094553,LTE,11,7,0.01,<10ms
Swords,53.4625009,-6.213488015,Ireland,-94.84468772,2.518137879,160.9631012,3G,11,8,0.01,<10ms
Swords,53.45004431,-6.210240803,Ireland,-91.3461794,66.55906427,29.27469917,5G,11,9,0.01,<10ms
Swords,53.46884393,-6.224474498,Ireland,-93.80871523,1.061715809,105.18953,3G,11,69,0.01,<10ms
Swords,53.45698121,-6.219332841,Ireland,-83.7320348,2.686556182,109.7514326,LTE,11,70,0.01,<10ms
Swords,53.46806936,-6.211030128,Ireland,-103.7419083,1.500935798,162.48741,LTE,12,1,0.01,<10ms
Navan,53.6528,-6.6814,Ireland,-84.60071879,5.3271931,52.82928281,4G,12,2,0.01,<10ms
Navan,53.65606386,-6.67841158,Ireland,-88.05548924,1.795224757,126.4276263,3G,12,3,0.01,<10ms
Navan,53.65265701,-6.688189756,Ireland,-85.00841617,11.35996158,48.60061478,5G,12,4,0.01,<10ms
Navan,53.65088055,-6.677754804,Ireland,-82.74662419,7.760783198,70.40758454,4G,12,65,0.01,<10ms
Navan,53.64563958,-6.688321879,Ireland,-86.97229647,49.4546482,49.85049146,5G,12,66,0.01,<10ms
Navan,53.65888793,-6.671716149,Ireland,-101.4979062,9.660434971,91.92459169,4G,12,5,0.01,<10ms
Navan,53.66239701,-6.685149315,Ireland,-86.68107033,1.908690846,163.0247219,3G,12,6,0.01,<10ms
Navan,53.65207539,-6.6831345,Ireland,-94.72989637,2.854221258,110.5393218,LTE,12,7,0.01,<10ms
Navan,53.65440669,-6.685550806,Ireland,-84.61333671,2.485061666,107.6635806,LTE,12,8,0.01,<10ms
Navan,53.64350875,-6.674942682,Ireland,-81.6791057,1.68956284,146.1843481,3G,12,9,0.01,<10ms
Navan,53.64769662,-6.676195949,Ireland,-87.43525335,3.737418391,61.11806524,4G,12,69,0.01,<10ms
Blackrock,53.3015,-6.1778,Ireland,-96.49171032,2.065008133,111.5394642,3G,12,70,0.01,<10ms
Blackrock,53.29916125,-6.180815647,Ireland,-83.9397074,74.31771474,45.2625382,5G,13,1,0.01,<10ms
Blackrock,53.30010373,-6.172701846,Ireland,-92.83831942,2.754700906,138.9404939,LTE,13,2,0.01,<10ms
Blackrock,53.30441019,-6.174511554,Ireland,-88.77551473,5.65458576,91.56838531,4G,13,3,0.01,<10ms
Blackrock,53.30178868,-6.177030265,Ireland,-96.31278117,1.781510305,115.8678874,LTE,13,4,0.01,<10ms
Blackrock,53.29745473,-6.175294562,Ireland,-88.54373189,22.02855233,27.75436754,5G,13,65,0.01,<10ms
Blackrock,53.30281905,-6.179126619,Ireland,-87.67426992,1.176769894,169.8948828,LTE,13,66,0.01,<10ms
Blackrock,53.30473813,-6.177639585,Ireland,-90.81294432,2.716046542,199.7628297,3G,13,5,0.01,<10ms
Blackrock,53.30687717,-6.182624146,Ireland,-84.61310002,2.524605249,103.8938017,3G,13,6,0.01,<10ms
Blackrock,53.30250117,-6.182294636,Ireland,-84.31486807,43.43373493,34.74108235,5G,13,7,0.01,<10ms
Blackrock,53.29266869,-6.170795292,Ireland,-82.72963396,1.139601309,155.468771,3G,13,8,0.01,<10ms
Ennis,52.8463,-8.9807,Ireland,-83.16259362,5.813210399,57.68455214,4G,13,9,0.01,<10ms
Ennis,52.84909479,-8.975867139,Ireland,-96.57203006,2.600146864,188.4583293,3G,13,69,0.01,<10ms
Ennis,52.84911915,-8.986791778,Ireland,-82.12513471,4.879935172,55.04890534,4G,13,70,0.01,<10ms
Ennis,52.85408578,-8.982479952,Ireland,-93.92104471,1.152959911,198.6729102,LTE,14,1,0.01,<10ms
Ennis,52.85222484,-8.990481833,Ireland,-75.8141591,2.983545762,166.4201713,3G,14,2,0.01,<10ms
Ennis,52.85100916,-8.984404886,Ireland,-90.70709665,3.86262803,84.92653126,4G,14,3,0.01,<10ms
Ennis,52.8554683,-8.988309376,Ireland,-96.1944732,1.36567556,182.5710952,3G,14,4,0.01,<10ms
Ennis,52.83860901,-8.980262674,Ireland,-83.11025541,64.02533145,12.14057852,5G,14,65,0.01,<10ms
Ennis,52.85013182,-8.983918397,Ireland,-98.15772599,63.72196215,49.98230813,5G,14,66,0.01,<10ms
Ennis,52.84527278,-8.981385255,Ireland,-87.72595089,50.41348911,19.49914227,5G,14,5,0.01,<10ms
Ennis,52.84611048,-8.981672969,Ireland,-98.57524091,1.175097328,128.2801131,3G,14,6,0.01,<10ms
Douglas,51.8764,-8.4358,Ireland,-108.7375242,9.390517033,66.98851211,4G,14,7,0.01,<10ms
Douglas,51.87847711,-8.430274118,Ireland,-97.49865088,2.936152763,144.6714527,LTE,14,8,0.01,<10ms
Douglas,51.88402118,-8.437173899,Ireland,-86.29637113,2.818350528,131.3878077,LTE,14,9,0.01,<10ms
Douglas,51.88250176,-8.430149891,Ireland,-83.74152104,2.399379818,141.0857092,LTE,14,69,0.01,<10ms
Douglas,51.87796561,-8.443349361,Ireland,-94.38160361,2.876631457,181.8740229,LTE,14,70,0.01,<10ms
Douglas,51.87567648,-8.439588568,Ireland,-88.80643261,1.964264198,184.090871,3G,15,1,0.01,<10ms
Douglas,51.87691865,-8.445181913,Ireland,-89.73274047,52.80365726,26.3099242,5G,15,2,0.01,<10ms
Douglas,51.88164073,-8.436128562,Ireland,-85.6923087,1.211748636,135.4897683,3G,15,3,0.01,<10ms
Douglas,51.86710815,-8.439217723,Ireland,-85.20483287,1.929226338,137.9616764,LTE,15,4,0.01,<10ms
Douglas,51.86953063,-8.436230273,Ireland,-99.25685225,37.76214533,32.92168802,5G,15,65,0.01,<10ms
Douglas,51.88071181,-8.441332879,Ireland,-89.11502109,3.180387191,80.17644033,4G,15,66,0.01,<10ms
Tralee,52.2675,-9.6962,Ireland,-92.83776401,3.537652087,61.74971388,4G,15,5,0.01,<10ms
Tralee,52.25785937,-9.692029466,Ireland,-83.248971,1.795368829,197.3800413,LTE,15,6,0.01,<10ms
Tralee,52.2758856,-9.688288205,Ireland,-100.6573293,14.61644641,29.70141523,5G,15,7,0.01,<10ms
Tralee,52.2597752,-9.696162181,Ireland,-91.84006864,4.354047401,82.07522406,4G,15,8,0.01,<10ms
Tralee,52.27549737,-9.701190269,Ireland,-93.81023249,2.155614101,186.6101545,3G,15,9,0.01,<10ms
Tralee,52.26881931,-9.701167202,Ireland,-91.61320239,1.98446463,119.500898,3G,15,69,0.01,<10ms
Tralee,52.26872057,-9.698242174,Ireland,-93.10013676,1.858124739,127.5922694,3G,15,70,0.01,<10ms
Tralee,52.25951908,-9.695095388,Ireland,-83.1843289,5.879622,56.31932112,4G,16,1,0.01,<10ms
Tralee,52.26015944,-9.697773855,Ireland,-81.65370011,4.054812409,92.57971597,4G,16,2,0.01,<10ms
Tralee,52.26784228,-9.700404668,Ireland,-82.79313401,3.94203387,54.72094488,4G,16,3,0.01,<10ms
Tralee,52.26961526,-9.696878053,Ireland,-82.87280436,44.98537131,19.61196494,5G,16,4,0.01,<10ms
Carlow,52.8306,-6.9317,Ireland,-88.49471289,76.46552907,36.6646834,5G,16,65,0.01,<10ms
Carlow,52.82938892,-6.935375983,Ireland,-88.75513641,68.6710779,43.29668734,5G,16,66,0.01,<10ms
Carlow,52.83165556,-6.931098372,Ireland,-87.90879823,5.361119855,97.07884264,4G,16,5,0.01,<10ms
Carlow,52.83849426,-6.939622764,Ireland,-102.9440924,19.57035676,14.56559877,5G,16,6,0.01,<10ms
Carlow,52.83374584,-6.936215865,Ireland,-90.3929291,5.810232454,66.90422047,4G,16,7,0.01,<10ms
Carlow,52.83867114,-6.941169968,Ireland,-93.01565412,1.302891044,143.2771484,LTE,16,8,0.01,<10ms
Carlow,52.83781293,-6.922416832,Ireland,-95.00573395,7.223339373,90.08421466,4G,16,9,0.01,<10ms
Carlow,52.8303842,-6.928714393,Ireland,-92.88827197,2.504257399,190.5538838,3G,16,69,0.01,<10ms
Carlow,52.8221572,-6.921926871,Ireland,-93.08294824,66.30857105,32.86430598,5G,16,70,0.01,<10ms
Carlow,52.83079019,-6.939912821,Ireland,-91.76118715,1.051618786,155.329064,LTE,17,1,0.01,<10ms
Carlow,52.82414956,-6.936874892,Ireland,-85.53226131,2.968063029,179.6484389,LTE,17,2,0.01,<10ms
Dunleary,53.3,-6.14,Ireland,-101.7776475,96.68431244,14.59014398,5G,17,3,0.01,<10ms
Dunleary,53.3088422,-6.145674595,Ireland,-90.92593994,2.261434889,173.9682898,3G,17,4,0.01,<10ms
Dunleary,53.29086995,-6.143865116,Ireland,-90.04804829,1.255140349,140.9085149,LTE,17,65,0.01,<10ms
Dunleary,53.29488074,-6.145184082,Ireland,-94.73840726,2.489473456,141.240306,3G,17,66,0.01,<10ms
Dunleary,53.29618562,-6.138249576,Ireland,-83.5275145,1.257192972,157.3850598,3G,17,5,0.01,<10ms
Dunleary,53.30564599,-6.132287499,Ireland,-96.92013496,65.04817775,21.8299025,5G,17,6,0.01,<10ms
Dunleary,53.30346729,-6.14292448,Ireland,-79.3501727,2.597311561,193.2752939,3G,17,7,0.01,<10ms
Dunleary,53.29127122,-6.146209112,Ireland,-87.03658538,1.418911539,141.6262781,3G,17,8,0.01,<10ms
Dunleary,53.29174709,-6.138856235,Ireland,-96.55675713,2.343417718,172.93098,LTE,17,9,0.01,<10ms
Dunleary,53.29159062,-6.149882801,Ireland,-80.98923869,5.374684628,53.12156636,4G,17,69,0.01,<10ms
Dunleary,53.29969849,-6.13459465,Ireland,-81.45230282,3.445793373,58.85635721,4G,17,70,0.01,<10ms
Port Laoise,53.0308,-7.3008,Ireland,-93.94321523,44.5057427,16.73114354,5G,18,1,0.01,<10ms
Port Laoise,53.03057618,-7.29786435,Ireland,-91.13662039,72.56687196,35.1851338,5G,18,2,0.01,<10ms
Port Laoise,53.03319881,-7.30703941,Ireland,-93.20682017,2.326292498,159.536637,3G,18,3,0.01,<10ms
Port Laoise,53.03546244,-7.304397124,Ireland,-100.2997504,10.02043344,46.60006151,5G,18,4,0.01,<10ms
Port Laoise,53.02601089,-7.307086595,Ireland,-96.92119009,4.629098442,52.69152625,4G,18,65,0.01,<10ms
Port Laoise,53.03010554,-7.299790593,Ireland,-83.43457378,2.773005053,139.8642494,LTE,18,66,0.01,<10ms
Port Laoise,53.03522808,-7.293265071,Ireland,-102.0455346,30.1532129,24.53091186,5G,18,5,0.01,<10ms
Port Laoise,53.03446035,-7.309237104,Ireland,-91.63454365,6.812416098,53.89282598,4G,18,6,0.01,<10ms
Port Laoise,53.026432,-7.308373108,Ireland,-86.36139384,2.382493328,116.7566539,LTE,18,7,0.01,<10ms
Port Laoise,53.0407517,-7.300877651,Ireland,-98.55093475,2.658301281,150.8141719,3G,18,8,0.01,<10ms
Port Laoise,53.02377467,-7.308574878,Ireland,-88.05999483,1.62740625,163.5645322,3G,18,9,0.01,<10ms
Rathfarnham,53.2988,-6.2854,Ireland,-91.87128873,1.945030886,137.8224515,3G,18,69,0.01,<10ms
Rathfarnham,53.30437353,-6.287084227,Ireland,-84.89882382,1.012094086,148.3860219,3G,18,70,0.01,<10ms
Rathfarnham,53.29947075,-6.293957422,Ireland,-79.35075324,2.519647317,133.8823482,3G,19,1,0.01,<10ms
Rathfarnham,53.29891257,-6.295116892,Ireland,-85.38859422,2.819096946,156.8955483,3G,19,2,0.01,<10ms
Rathfarnham,53.30365607,-6.293083045,Ireland,-89.15577127,7.083950633,73.21019745,4G,19,3,0.01,<10ms
Rathfarnham,53.30699781,-6.280189301,Ireland,-88.29210496,2.236581598,168.0672373,3G,19,4,0.01,<10ms
Rathfarnham,53.30101226,-6.29137505,Ireland,-89.43077478,6.480777206,58.92080483,4G,19,65,0.01,<10ms
Rathfarnham,53.29224516,-6.276710832,Ireland,-90.63496691,27.68382703,18.46983448,5G,19,66,0.01,<10ms
Rathfarnham,53.29238459,-6.290171588,Ireland,-86.85140553,2.42355589,189.8355275,LTE,19,5,0.01,<10ms
Rathfarnham,53.28890849,-6.287825587,Ireland,-89.89468866,1.771107129,150.6685791,3G,19,6,0.01,<10ms
Rathfarnham,53.28997124,-6.283999911,Ireland,-91.33273558,17.68627271,48.8984556,5G,19,7,0.01,<10ms
Baile Átha Luain,53.4236,-7.9425,Ireland,-87.8114333,2.887556223,125.0890317,LTE,19,8,0.01,<10ms
Baile Átha Luain,53.42159499,-7.949144717,Ireland,-87.57506606,1.911299099,148.201734,3G,19,9,0.01,<10ms
Baile Átha Luain,53.42161504,-7.940841949,Ireland,-95.53059758,76.90916566,31.3130815,5G,19,69,0.01,<10ms
Baile Átha Luain,53.42831374,-7.941078063,Ireland,-83.18139598,1.309715148,137.2999836,LTE,19,70,0.01,<10ms
